timestamp,seconds,frame_path
00:00,0,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_00-00.jpg
00:06,6,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_00-06.jpg
00:12,12,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_00-12.jpg
00:20,20,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_00-20.jpg
00:26,26,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_00-26.jpg
00:34,34,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_00-34.jpg
00:40,40,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_00-40.jpg
00:48,48,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_00-48.jpg
00:54,54,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_00-54.jpg
01:02,62,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_01-02.jpg
01:08,68,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_01-08.jpg
01:16,76,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_01-16.jpg
01:22,82,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_01-22.jpg
01:30,90,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_01-30.jpg
01:36,96,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_01-36.jpg
01:44,104,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_01-44.jpg
01:50,110,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_01-50.jpg
01:58,118,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_01-58.jpg
02:04,124,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_02-04.jpg
02:12,132,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_10\sampled_frames\frame_02-12.jpg
