timestamp,seconds,frame_path
00:00,0,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_00-00.jpg
00:22,22,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_00-22.jpg
00:46,46,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_00-46.jpg
01:10,70,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_01-10.jpg
01:34,94,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_01-34.jpg
01:58,118,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_01-58.jpg
02:22,142,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_02-22.jpg
02:44,164,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_02-44.jpg
03:08,188,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_03-08.jpg
03:32,212,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_03-32.jpg
03:56,236,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_03-56.jpg
04:20,260,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_04-20.jpg
04:44,284,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_04-44.jpg
05:06,306,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_05-06.jpg
05:30,330,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_05-30.jpg
05:54,354,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_05-54.jpg
06:18,378,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_06-18.jpg
06:42,402,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_06-42.jpg
07:06,426,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_07-06.jpg
07:30,450,outputs_vlm_event_detection\prompt_experiments\few_shot\TVSUM_12\sampled_frames\frame_07-30.jpg
