video_name,prompt_name,event_id,event_description,start,end,start_seconds,end_seconds
TVSUM_10,reasoning_guided,1,News anchor introduces electric cars making the earth more green,00:00,00:20,0,20
TVSUM_10,reasoning_guided,2,Interview with Yoo Dong-kun about establishing electric vehicle charging system,00:21,00:40,21,40
TVSUM_10,reasoning_guided,3,Interview with Kim Tae-hoon about EV & Smart Car exhibition,00:41,01:00,41,60
TVSUM_10,reasoning_guided,4,Demonstration of electric bus and charging station,01:01,01:20,61,80
TVSUM_10,reasoning_guided,5,Interview with man about electric vehicle technology,01:21,01:40,81,100
TVSUM_10,reasoning_guided,6,Demonstration of electric scooter,01:41,01:50,101,110
TVSUM_10,reasoning_guided,7,Interview with man about electric vehicle industry,01:51,02:00,111,120
TVSUM_10,reasoning_guided,8,Demonstration of electric car charging process,02:01,02:20,121,140
TVSUM_10,reasoning_guided,9,Interview with woman about electric vehicle charging system,02:21,02:40,141,160
TVSUM_10,reasoning_guided,10,Demonstration of electric car charging station,02:41,02:50,161,170
TVSUM_10,reasoning_guided,11,Interview with man about electric vehicle industry,02:51,03:00,171,180
