video_name,prompt_name,event_id,event_description,start,end,start_seconds,end_seconds
TVSUM_12,reasoning_guided,1,A person is washing their hands in a sink,00:00,00:20,0,20
TVSUM_12,reasoning_guided,2,The scene transitions to a woman talking in a kitchen,00:21,00:40,21,40
TVSUM_12,reasoning_guided,3,The woman is shown holding a bottle of thickening agent,00:41,01:00,41,60
TVSUM_12,reasoning_guided,4,The woman is seen applying the thickening agent to her hair,01:01,01:20,61,80
TVSUM_12,reasoning_guided,5,The woman is shown in an elevator,01:21,01:40,81,100
TVSUM_12,reasoning_guided,6,"The woman is outside, waving at the camera",01:41,01:50,101,110
TVSUM_12,reasoning_guided,7,"The woman is back in the kitchen, talking to someone off-camera",01:51,02:00,111,120
TVSUM_12,reasoning_guided,8,"The woman is shown in a bathroom, washing her hands again",02:01,02:20,121,140
TVSUM_12,reasoning_guided,9,"The woman is shown in a living room, playing with a dog",02:21,02:40,141,160
TVSUM_12,reasoning_guided,10,"The woman is shown in a bathroom, washing her hands again",02:41,03:20,161,200
TVSUM_12,reasoning_guided,11,"The woman is shown in a living room, playing with a dog",03:21,03:40,201,220
TVSUM_12,reasoning_guided,12,"The woman is shown in a bathroom, washing her hands again",03:41,04:00,221,240
TVSUM_12,reasoning_guided,13,"The woman is shown in a living room, playing with a dog",04:01,04:20,241,260
TVSUM_12,reasoning_guided,14,"The woman is shown in a bathroom, washing her hands again",04:21,04:40,261,280
TVSUM_12,reasoning_guided,15,"The woman is shown in a living room, playing with a dog",04:41,05:00,281,300
